category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
Films (English),2,129110000,null,1,Red Notice,2022-01-04,2021-11-21
Films (English),1,20480000,null,2,There's Someone Inside Your House,2022-01-04,2021-10-10
TV (Non-English),1,10140000,Elite: Season 2,8,Elite,2022-01-04,2021-07-04
TV (English),2,58960000,Love Is Blind: Season 2,2,Love Is Blind,2022-02-22,2022-02-20
TV (English),5,10480000,All American: Season 3,9,All American,2022-01-04,2021-08-29
TV (Non-English),1,28270000,"Newly Rich, Newly Poor: Season 1",3,"Newly Rich, Newly Poor",2022-01-04,2021-07-04
TV (Non-English),4,12150000,Money Heist: Part 1,6,Money Heist,2022-01-04,2021-09-26
Films (English),1,47700000,null,2,Bruised,2022-01-04,2021-11-28
TV (Non-English),13,13000000,Money Heist: Part 5,7,Money Heist,2022-01-18,2022-01-16
Films (English),1,10110000,null,6,The Secret Life of Pets,2022-01-04,2021-08-22
TV (Non-English),1,11850000,Twenty Five Twenty One: Season 1,7,Twenty Five Twenty One,2022-03-01,2022-02-27
Films (Non-English),2,6760000,null,5,The Privilege,2022-02-22,2022-02-20
Films (Non-English),3,2000000,null,9,Lulli,2022-01-18,2022-01-16
Films (English),3,24750000,null,4,Back to the Outback,2022-01-04,2021-12-26
Films (Non-English),2,7420000,null,4,Love and Leashes,2022-02-22,2022-02-20
Films (English),5,6280000,null,7,Hotel Transylvania 3: Summer Vacation,2022-02-01,2022-01-30
Films (Non-English),3,7190000,null,5,Major Grom: Plague Doctor,2022-01-04,2021-07-25
Films (Non-English),1,7370000,null,2,Haseen Dillruba,2022-01-04,2021-07-04
TV (Non-English),1,9750000,Gone for Good: Limited Series,8,Gone for Good,2022-01-04,2021-08-15
Films (Non-English),2,17950000,null,1,Yara,2022-01-04,2021-11-14
TV (English),4,18770000,Locke & Key: Season 2,7,Locke & Key,2022-01-04,2021-11-14
TV (English),1,86730000,Sex/Life: Season 1,1,Sex/Life,2022-01-04,2021-07-04
TV (Non-English),6,13660000,Carinha de Anjo: Season 1,4,Carinha de Anjo,2022-01-04,2021-11-14
Films (English),3,7790000,null,8,Fatherhood,2022-01-04,2021-07-18
Films (Non-English),2,3110000,null,5,Silver Skates,2022-01-04,2021-07-11
TV (Non-English),15,9680000,Hometown Cha-Cha-Cha: Season 1,8,Hometown Cha-Cha-Cha,2022-01-04,2021-12-12
TV (Non-English),9,11640000,"Yo soy Betty, la fea: Season 1",5,"Yo soy Betty, la fea",2022-01-25,2022-01-23
Films (English),2,13080000,null,4,Despicable Me 2,2022-02-15,2022-02-13
TV (Non-English),3,9500000,Hospital Playlist: Season 2,10,Hospital Playlist,2022-01-04,2021-08-15
TV (English),2,29680000,Atypical: Season 4,4,Atypical,2022-01-04,2021-07-18
Films (English),1,13720000,null,5,The Old Ways,2022-01-04,2021-08-29
TV (English),2,20080000,Virgin River: Season 1,6,Virgin River,2022-01-04,2021-07-18
TV (Non-English),6,30560000,The Queen of Flow: Season 2,2,The Queen of Flow,2022-01-04,2021-12-26
TV (English),3,50540000,Emily in Paris: Season 2,4,Emily in Paris,2022-01-11,2022-01-09
TV (English),2,29810000,True Story: Limited Series,2,True Story,2022-01-04,2021-12-05
TV (English),2,113380000,Vikings: Valhalla: Season 1,1,Vikings: Valhalla,2022-03-09,2022-03-06
Films (Non-English),10,1870000,null,9,Blood Red Sky,2022-01-25,2022-01-23
TV (Non-English),9,12120000,"Newly Rich, Newly Poor: Season 1",2,"Newly Rich, Newly Poor",2022-01-04,2021-08-29
Films (English),1,12170000,null,7,14 Peaks: Nothing Is Impossible,2022-01-04,2021-12-05
TV (Non-English),5,14090000,Carinha de Anjo: Season 1,4,Carinha de Anjo,2022-01-04,2021-11-07
Films (English),1,17010000,null,4,No One Gets Out Alive,2022-01-04,2021-10-03
Films (English),10,8710000,null,6,Red Notice,2022-01-18,2022-01-16
TV (English),1,43000000,Sweet Magnolias: Season 2,5,Sweet Magnolias,2022-02-08,2022-02-06
Films (Non-English),6,3020000,null,4,Blood Red Sky,2022-01-04,2021-08-29
Films (Non-English),3,1420000,null,6,Black Island,2022-01-04,2021-09-05
TV (English),3,53720000,Stay Close: Limited Series,1,Stay Close,2022-01-18,2022-01-16
TV (Non-English),6,11950000,The Cook of Castamar: Season 1,5,The Cook of Castamar,2022-01-04,2021-08-15
Films (English),2,26170000,null,2,The Kissing Booth 3,2022-01-04,2021-08-22
Films (English),1,12980000,null,4,13 Hours: The Secret Soldiers of Benghazi,2022-02-08,2022-02-06
TV (English),4,11050000,CoComelon: Season 3,7,CoComelon,2022-01-04,2021-09-05
Films (English),1,9370000,null,6,Spider-Man: Homecoming,2022-01-04,2021-12-19
Films (Non-English),2,6570000,null,1,Black Island,2022-01-04,2021-08-29
Films (Non-English),2,1250000,null,9,Fierce,2022-02-08,2022-02-06
TV (Non-English),16,18110000,Squid Game: Season 1,6,Squid Game,2022-01-04,2022-01-02
Films (Non-English),3,2270000,null,2,Out of my league,2022-01-04,2021-09-05
Films (Non-English),1,2150000,null,9,Rurouni Kenshin: Origins,2022-01-04,2021-07-04
TV (English),1,9590000,Good Girls: Season 1,9,Good Girls,2022-01-04,2021-09-05
TV (Non-English),1,11610000,The Fame Game: Season 1,6,The Fame Game,2022-03-09,2022-03-06
Films (Non-English),3,1840000,null,9,The Stronghold,2022-01-04,2021-10-03
TV (English),3,16110000,Too Hot to Handle: Season 2,10,Too Hot to Handle,2022-01-04,2021-07-18
Films (English),2,10520000,null,8,Journey 2: The Mysterious Island,2022-01-11,2022-01-09
TV (English),2,96340000,Ozark: Season 4 Part 1,1,Ozark,2022-02-01,2022-01-30
Films (English),5,5570000,null,5,My Little Pony: A New Generation,2022-01-04,2021-10-24
Films (Non-English),3,3310000,null,5,The Trip,2022-01-04,2021-10-31
TV (English),1,22220000,Archive 81: Season 1,7,Archive 81,2022-01-18,2022-01-16
TV (English),1,142430000,The Witcher: Season 2,1,The Witcher,2022-01-04,2021-12-19
TV (English),3,11100000,Selling Sunset: Season 4,10,Selling Sunset,2022-01-04,2021-12-12
TV (English),3,22020000,The Woman in the House Across the Street from the Girl in the Window: Season 1,6,The Woman in the House Across the Street from the Girl in the Window,2022-02-15,2022-02-13
TV (Non-English),1,14870000,Money Heist: Part 4,4,Money Heist,2022-01-04,2021-09-05
Films (English),2,9470000,null,3,Security,2022-01-04,2021-10-17
TV (Non-English),2,10420000,"Devotion, a Story of Love and Desire: Season 1",10,"Devotion, a Story of Love and Desire",2022-03-01,2022-02-27
TV (Non-English),2,27030000,Ganglands: Season 1,4,Ganglands,2022-01-04,2021-10-03
Films (English),2,19550000,null,1,Fear Street Part 1: 1994,2022-01-04,2021-07-11
Films (English),1,31870000,null,1,Night Teeth,2022-01-04,2021-10-24
TV (English),2,14540000,For Life: Season 1,5,For Life,2022-01-04,2021-08-22
Films (English),3,8430000,null,8,The Christmas Chronicles,2022-01-04,2021-12-19
TV (Non-English),4,12900000,The Chestnut Man: Season 1,7,The Chestnut Man,2022-01-04,2021-10-24
Films (Non-English),3,9820000,null,2,Spoiled Brats,2022-01-04,2021-12-12
Films (Non-English),2,4570000,null,6,Bartkowiak,2022-01-04,2021-08-08
TV (Non-English),1,19780000,The Girl from Oslo: Season 1,4,The Girl from Oslo,2022-01-04,2021-12-26
Films (English),4,6290000,null,5,Wish Dragon,2022-01-04,2021-08-01
TV (Non-English),3,14240000,Elite: Season 4,4,Elite,2022-01-04,2021-07-18
Films (Non-English),1,18060000,null,2,The Privilege,2022-02-15,2022-02-13
TV (Non-English),1,15940000,Fishbowl Wives: Season 1,7,Fishbowl Wives,2022-02-22,2022-02-20
Films (Non-English),1,3250000,null,3,Kung Fu Hustle,2022-01-04,2021-09-12
Films (English),1,6870000,null,9,Alvin and the Chipmunks: Chipwrecked,2022-01-04,2021-08-22
Films (Non-English),3,1030000,null,9,Xtreme,2022-01-04,2021-09-26
Films (English),1,5050000,null,10,World Trade Center,2022-01-04,2021-08-08
TV (English),7,9110000,Ozark: Season 4 Part 1,10,Ozark,2022-03-09,2022-03-06
Films (English),1,8960000,null,6,Abominable,2022-02-22,2022-02-20
Films (Non-English),2,4890000,null,5,El infierno,2022-01-04,2021-08-15
TV (Non-English),2,16400000,Control Z: Season 2,2,Control Z,2022-01-04,2021-08-15
Films (Non-English),1,5990000,null,4,Minnal Murali,2022-01-04,2021-12-26
Films (Non-English),2,2440000,null,9,UFO,2022-03-09,2022-03-06
TV (Non-English),3,11210000,Ganglands: Season 1,7,Ganglands,2022-01-04,2021-10-10
Films (Non-English),1,2050000,null,8,Lost Bullet,2022-01-25,2022-01-23
Films (English),2,10590000,null,5,Wish Dragon,2022-01-04,2021-07-11
TV (English),3,14140000,Raising Dion: Season 1,8,Raising Dion,2022-02-22,2022-02-20
Films (Non-English),4,2510000,null,7,Minnal Murali,2022-01-18,2022-01-16
TV (English),4,10090000,Hit & Run: Season 1,10,Hit & Run,2022-01-04,2021-08-29
TV (English),1,18890000,Cocaine Cowboys: The Kings of Miami: Limited Series,5,Cocaine Cowboys: The Kings of Miami,2022-01-04,2021-08-08
TV (Non-English),8,12410000,Carinha de Anjo: Season 1,7,Carinha de Anjo,2022-01-04,2021-11-28
TV (Non-English),2,67520000,Hellbound: Season 1,2,Hellbound,2022-01-04,2021-11-28
